"","EPAPropertyType","average_electricity","EPAPropertyType.1","average_steam","EPAPropertyType.2","average_natural"
"1","Convention Center",30223520,"College/University",5540029.87179487,"College/University",3551584.32432432
"2","Courthouse",18949531.5,"Convention Center",14987953,"Courthouse",14735805
"3","Data Center",59052671.5,"Fitness Center/Health Club/Gym",739977,"Hospital (General Medical & Surgical)",34505773.8
"4","Enclosed Mall",9956656,"Hospital (General Medical & Surgical)",44137831.8,"Laboratory",7815428.86666667
"5","Hospital (General Medical & Surgical)",72136088,"Hotel",850416.5875,"Lifestyle Center",4539030
"6","Laboratory",10036227.6,"Laboratory",1826260.13333333,"Mixed Use Property",5063293.53968254
"7","Mixed Use Property",10972056.4126984,"Medical Office",1334098.29166667,"Multifamily HR (10+)",3364804.24193548
"8","Prison/Incarceration",18382355,"Museum",1733173.33333333,"Prison/Incarceration",29624197
"9","Stadium (Open)",29913014,"Outpatient Rehabilitation/Physical Therapy",1816867,"Supermarket/Grocery Store",3427990.84210526
"10","Transportation Terminal/Station",12918778.5,"Performing Arts",984742,"Wholesale Club/Supercenter",3905764
